"110年06月 4938 和碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","6,542,977","481,703,176","73.60","73.80","73.40","73.80","+0.30","3,549",
"110/06/02","7,098,319","522,825,128","73.80","74.30","73.20","73.60","-0.20","3,956",
"110/06/03","5,368,759","395,191,078","73.70","73.90","73.30","73.50","-0.10","2,833",
"110/06/04","5,751,369","422,245,829","73.20","73.60","73.10","73.40","-0.10","2,879",
"110/06/07","5,494,925","401,288,112","73.80","73.80","72.20","72.90","-0.50","3,074",
"110/06/08","4,327,789","317,410,131","73.30","73.50","72.90","73.50","+0.60","2,691",
"110/06/09","4,806,599","350,315,504","73.20","73.50","72.60","72.70","-0.80","2,968",
"110/06/10","5,281,184","384,916,902","73.20","73.20","72.40","73.00","+0.30","3,186",
"110/06/11","8,553,105","620,179,865","72.90","73.00","72.20","72.30","-0.70","5,030",
"110/06/15","5,376,513","390,066,474","72.50","73.00","72.00","73.00","+0.70","3,395",
"110/06/16","10,153,054","747,218,141","72.80","73.90","72.60","73.80","+0.80","6,145",
"110/06/17","4,777,681","352,323,383","73.30","74.00","73.20","74.00","+0.20","3,182",
"110/06/18","14,129,246","1,052,987,226","74.10","74.90","74.00","74.70","+0.70","6,635",
"110/06/21","16,243,395","1,206,140,157","74.20","74.40","73.60","74.40","-0.30","4,819",
"110/06/22","10,905,101","812,734,377","75.00","75.00","74.10","74.30","-0.10","5,425",
"110/06/23","9,047,641","673,870,127","74.70","74.70","74.00","74.60","+0.30","4,815",
"110/06/24","9,680,157","723,193,554","74.70","75.00","74.40","74.50","-0.10","4,330",
"110/06/25","12,634,734","942,552,008","74.80","74.90","74.40","74.50"," 0.00","4,463",
"110/06/28","12,629,157","936,013,742","74.50","74.60","73.80","74.00","-0.50","5,640",
"110/06/29","21,816,505","1,609,785,567","74.10","74.30","73.60","73.70","-0.30","9,723",
"110/06/30","43,685,935","3,026,387,639","68.60","69.50","68.30","68.80","X0.00","19,030",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

