"110年06月 5871 中租-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","1,408,440","294,110,736","208.50","209.50","207.50","209.50","+1.00","1,159",
"110/06/02","2,755,827","566,923,910","208.50","209.00","203.50","205.00","-4.50","2,404",
"110/06/03","1,105,178","226,902,654","205.00","206.00","204.00","206.00","+1.00","909",
"110/06/04","1,237,199","255,183,219","205.00","207.50","204.00","207.00","+1.00","925",
"110/06/07","1,477,897","301,145,331","206.50","207.00","201.00","204.50","-2.50","1,308",
"110/06/08","808,442","164,969,652","205.50","205.50","203.00","204.00","-0.50","752",
"110/06/09","955,386","193,987,599","204.50","204.50","202.00","203.00","-1.00","822",
"110/06/10","1,398,389","285,207,238","205.00","205.00","202.50","204.50","+1.50","970",
"110/06/11","1,728,262","355,847,918","205.00","207.00","204.50","207.00","+2.50","1,281",
"110/06/15","1,560,970","323,016,735","208.00","208.00","205.50","207.50","+0.50","1,379",
"110/06/16","42,597,103","8,378,681,603","203.00","204.00","200.00","200.00","-7.50","4,628",
"110/06/17","3,950,404","786,753,189","198.50","201.00","196.00","200.50","+0.50","3,059",
"110/06/18","6,057,023","1,215,960,583","199.50","202.00","199.50","200.50"," 0.00","1,598",
"110/06/21","3,242,921","648,463,695","199.00","201.50","198.50","200.50"," 0.00","1,937",
"110/06/22","3,742,529","756,997,771","200.00","203.50","199.50","201.50","+1.00","1,930",
"110/06/23","5,742,910","1,180,451,042","203.00","208.00","202.00","205.50","+4.00","3,123",
"110/06/24","4,628,836","967,479,708","205.50","210.00","205.50","210.00","+4.50","2,025",
"110/06/25","3,430,379","716,193,946","210.00","211.00","205.50","207.00","-3.00","2,111",
"110/06/28","2,586,037","531,223,150","207.00","207.50","203.50","204.00","-3.00","1,783",
"110/06/29","2,243,087","455,381,478","203.50","204.50","202.00","202.50","-1.50","1,839",
"110/06/30","3,362,035","680,880,292","204.00","205.00","201.50","202.50"," 0.00","2,112",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

