"110年05月 5876 上海商銀         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","4,558,093","197,132,875","43.00","43.55","42.70","42.80","-0.65","2,086",
"110/05/04","7,266,752","311,487,712","43.00","43.45","42.35","42.45","-0.35","2,682",
"110/05/05","2,877,084","122,411,859","42.30","42.90","42.20","42.45"," 0.00","1,580",
"110/05/06","7,385,180","317,542,503","42.60","43.95","42.60","43.90","+1.45","2,674",
"110/05/07","4,538,894","199,640,924","43.90","44.10","43.55","44.05","+0.15","2,304",
"110/05/10","5,494,502","245,056,630","44.30","45.00","44.00","44.50","+0.45","2,747",
"110/05/11","5,695,235","249,783,254","44.60","44.60","43.25","43.40","-1.10","1,802",
"110/05/12","15,353,739","650,912,216","43.30","44.35","40.00","41.50","-1.90","6,976",
"110/05/13","8,392,746","347,514,283","41.10","41.95","40.50","41.20","-0.30","2,844",
"110/05/14","6,049,257","256,214,314","41.25","43.15","41.25","42.65","+1.45","2,427",
"110/05/17","6,863,920","286,960,613","42.50","42.50","41.05","41.30","-1.35","2,646",
"110/05/18","7,448,933","321,470,885","41.45","43.80","41.45","43.60","+2.30","3,356",
"110/05/19","6,013,589","261,120,960","42.70","43.90","42.70","42.90","-0.70","2,833",
"110/05/20","5,975,151","258,276,206","43.10","43.50","42.70","43.35","+0.45","2,358",
"110/05/21","6,887,102","305,018,851","43.50","44.60","43.45","44.35","+1.00","2,900",
"110/05/24","3,889,923","172,014,038","43.90","44.45","43.85","44.40","+0.05","2,312",
"110/05/25","8,406,208","378,603,610","44.45","45.40","44.35","45.20","+0.80","3,087",
"110/05/26","4,822,294","218,126,458","45.00","45.45","44.80","45.35","+0.15","2,367",
"110/05/27","36,571,782","1,658,692,675","44.65","45.60","43.75","45.60","+0.25","3,963",
"110/05/28","7,191,999","323,611,875","45.55","45.55","44.25","45.25","-0.35","3,298",
"110/05/31","4,896,472","221,935,869","44.40","45.50","44.40","45.40","+0.15","1,983",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

