"110年05月 6505 台塑化           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","2,796,182","286,441,260","102.50","103.50","102.00","102.00","-1.50","1,699",
"110/05/04","11,464,916","1,189,663,569","102.50","105.00","100.50","101.00","-1.00","4,867",
"110/05/05","3,652,970","377,769,372","102.00","104.50","101.00","104.00","+3.00","1,734",
"110/05/06","14,997,282","1,596,168,922","104.00","108.50","104.00","108.50","+4.50","7,921",
"110/05/07","6,694,010","706,719,190","107.00","108.50","102.50","105.00","-3.50","3,323",
"110/05/10","4,107,199","440,147,177","105.00","108.00","104.50","107.50","+2.50","2,829",
"110/05/11","10,567,180","1,116,496,692","107.00","109.00","102.50","104.00","-3.50","5,299",
"110/05/12","11,112,119","1,105,460,896","104.50","106.00","94.00","97.70","-6.30","7,145",
"110/05/13","7,608,379","736,016,590","98.50","98.50","94.50","95.00","-2.70","3,196",
"110/05/14","4,643,571","443,966,638","94.10","98.10","93.00","96.70","+1.70","2,446",
"110/05/17","4,805,061","460,261,561","96.00","97.00","94.70","95.40","-1.30","1,954",
"110/05/18","3,802,159","373,143,929","94.90","99.80","94.90","99.00","+3.60","2,110",
"110/05/19","4,067,863","401,670,154","97.10","100.50","97.10","98.10","-0.90","2,196",
"110/05/20","4,346,371","419,826,966","96.60","98.20","95.20","97.30","-0.80","2,485",
"110/05/21","2,756,865","271,369,101","97.50","100.50","96.50","98.20","+0.90","1,460",
"110/05/24","1,137,528","110,870,226","97.50","98.10","97.10","97.50","-0.70","871",
"110/05/25","2,506,311","249,144,312","97.50","100.50","97.30","99.50","+2.00","1,734",
"110/05/26","1,888,691","188,588,026","100.00","100.50","99.00","100.50","+1.00","1,288",
"110/05/27","6,008,336","585,689,195","99.10","100.00","96.90","97.20","-3.30","2,838",
"110/05/28","2,661,132","262,225,760","98.10","99.50","97.60","98.80","+1.60","1,724",
"110/05/31","1,747,069","174,885,178","98.10","100.50","98.10","100.00","+1.20","1,363",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

