"110年05月 8046 南電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","6,898,724","2,100,147,656","318.50","318.50","298.50","298.50","-20.00","6,497",
"110/05/04","15,601,133","4,742,752,931","305.00","312.00","290.50","308.00","+9.50","12,020",
"110/05/05","13,523,158","4,109,108,861","314.00","318.00","287.50","289.00","-19.00","11,390",
"110/05/06","12,497,980","3,779,428,173","294.50","312.00","290.00","305.00","+16.00","10,249",
"110/05/07","11,910,517","3,717,440,247","309.00","318.00","303.50","318.00","+13.00","9,330",
"110/05/10","8,703,525","2,732,486,733","323.00","325.00","306.00","307.00","-11.00","8,369",
"110/05/11","12,857,969","3,691,344,576","296.00","302.00","276.50","279.50","-27.50","10,973",
"110/05/12","25,328,491","6,904,307,273","282.50","295.00","252.00","268.50","-11.00","18,556",
"110/05/13","17,643,914","4,894,108,690","263.50","287.00","256.00","283.50","+15.00","13,079",
"110/05/14","18,387,698","5,443,221,780","290.00","305.00","286.50","290.00","+6.50","13,609",
"110/05/17","22,107,407","6,521,291,122","280.00","303.00","276.50","302.00","+12.00","16,715",
"110/05/18","20,447,752","6,391,606,535","321.00","321.00","305.00","310.00","+8.00","15,606",
"110/05/19","9,744,469","3,011,440,509","307.50","317.50","302.00","303.50","-6.50","7,531",
"110/05/20","8,053,826","2,404,491,848","303.50","309.50","291.50","292.00","-11.50","6,750",
"110/05/21","15,128,535","4,675,063,264","300.00","316.50","297.50","315.00","+23.00","11,913",
"110/05/24","11,295,402","3,573,158,716","311.00","322.50","309.00","322.50","+7.50","8,662",
"110/05/25","13,806,973","4,539,273,972","327.00","333.50","323.00","323.00","+0.50","10,733",
"110/05/26","9,176,723","2,947,392,437","327.00","331.00","315.00","318.00","-5.00","7,218",
"110/05/27","8,926,675","2,800,248,325","317.50","318.00","307.00","318.00"," 0.00","6,410",
"110/05/28","8,007,406","2,535,070,038","322.00","323.00","313.00","313.00","-5.00","6,483",
"110/05/31","16,023,113","5,263,090,856","316.00","338.00","315.00","330.50","+17.50","12,347",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

