"110年07月 9910 豐泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","1,087,195","261,651,284","240.00","246.50","238.00","240.00","-4.50","953",
"110/07/02","933,046","224,505,615","240.00","244.00","237.00","241.00","+1.00","695",
"110/07/05","1,085,334","265,229,297","244.00","248.50","240.50","244.00","+3.00","881",
"110/07/06","699,241","168,840,833","246.50","246.50","239.50","241.00","-3.00","580",
"110/07/07","1,582,911","382,782,695","244.00","248.50","239.50","243.00","+2.00","895",
"110/07/08","1,296,062","312,271,332","246.50","246.50","239.50","243.00"," 0.00","568",
"110/07/09","622,959","147,680,813","240.00","242.00","235.00","238.00","-5.00","579",
"110/07/12","891,862","212,915,096","238.00","244.00","235.00","237.50","-0.50","676",
"110/07/13","1,133,837","270,149,150","240.00","241.00","236.50","240.00","+2.50","698",
"110/07/14","1,016,169","239,209,166","239.50","239.50","233.50","235.00","-5.00","658",
"110/07/15","296,457","69,614,446","237.50","237.50","233.50","235.00"," 0.00","300",
"110/07/16","650,283","152,658,364","235.00","238.00","231.50","238.00","+3.00","605",
"110/07/19","1,107,953","254,841,556","232.50","233.50","228.00","231.00","-7.00","1,021",
"110/07/20","608,272","138,154,356","232.50","232.50","225.00","227.00","-4.00","582",
"110/07/21","1,237,998","286,395,535","228.00","236.00","227.50","234.00","+7.00","907",
"110/07/22","1,809,284","404,817,028","234.00","234.00","219.50","221.00","-13.00","1,558",
"110/07/23","1,716,655","383,931,454","223.00","228.50","220.00","224.50","+3.50","1,508",
"110/07/26","1,083,004","245,211,068","221.00","230.00","221.00","227.50","+3.00","806",
"110/07/27","606,144","138,994,702","228.00","231.00","226.00","230.00","+2.50","503",
"110/07/28","1,182,524","273,002,701","231.50","238.00","225.50","230.50","+0.50","963",
"110/07/29","553,972","127,390,481","230.50","233.00","227.00","230.50"," 0.00","493",
"110/07/30","955,289","219,193,725","230.50","233.50","225.00","231.00","+0.50","641",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

