Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Brut Champagne 2012,Dom Pérignon,"Champagne, France",2012,4.6,8135,8500
La Grande Année Brut Champagne 1999,Bollinger,"Champagne, France",1999,4.6,906,9979
R.D Extra Brut Champagne (Récemment Dégorgé) 2007,Bollinger,"Champagne, France",2007,4.6,775,9800
Sir Winston Churchill Brut Champagne 2013,Pol Roger,"Champagne, France",2013,4.6,696,7990
Brut Champagne 2013,Dom Pérignon,"Champagne, France",2013,4.5,3267,7104
La Grande Année Brut Champagne 2014,Bollinger,"Champagne, France",2014,4.5,2180,5600
La Grande Dame Brut Champagne 2012,Veuve Clicquot,"Champagne, France",2012,4.5,1403,8990
La Grande Année Rosé Brut Champagne 2012,Bollinger,"Champagne, France",2012,4.5,222,7400
Louis XV Brut Champagne 2008,De Venoge,"Champagne, France",2008,4.5,168,7949
Brut Champagne (Vintage) 2004,Louis Roederer,"Champagne, France",2004,4.5,133,6698
La Vigne d'Or Blanc de Meuniers Oeuilly Champagne 2004,Tarlant,"Champagne, France",2004,4.5,124,5780
Clos des Goisses Champagne 2013,Philipponnat,"Champagne, France",2013,4.5,26,9209
Blanc de Blancs Brut Champagne ,Ruinart,"Champagne, France",N/A,4.4,40088,2923
Cuvée Rosé ,Laurent-Perrier,"Champagne, France",N/A,4.4,38287,3800
Brut Rosé Champagne ,Billecart-Salmon,"Champagne, France",N/A,4.4,24739,2537
La Closerie Les Béguines Extra Brut Champagne ,Jérôme Prévost,"Champagne, France",N/A,4.4,3066,7950
Cava Kripta Gran Reserva Brut Nature 2008,Agusti Torello Mata,"Cava, Spain",2008,4.4,1317,1500
Belle Epoque Brut Champagne 2014,Perrier-Jouët,"Champagne, France",2014,4.4,883,7600
Cava Kripta Gran Reserva Brut Nature 2007,Agusti Torello Mata,"Cava, Spain",2007,4.4,573,4200
Blanc de Blancs Brut Champagne (Vintage) 2015,Louis Roederer,"Champagne, France",2015,4.4,329,3380
Privée Rosé Brut Champagne 1989,Veuve Clicquot,"Champagne, France",1989,4.4,38,9611
Brut (Carte Jaune) Champagne ,Veuve Clicquot,"Champagne, France",N/A,4.3,131623,3360
Special Cuvée Brut Aÿ Champagne ,Bollinger,"Champagne, France",N/A,4.3,63524,2427
Brut (R de Ruinart) Champagne ,Ruinart,"Champagne, France",N/A,4.3,25434,2216
Brut Rosé Champagne ,Veuve Clicquot,"Champagne, France",N/A,4.3,23558,2500
Rosé Brut Champagne ,Bollinger,"Champagne, France",N/A,4.3,13004,4600
Brut Sous Bois Champagne ,Billecart-Salmon,"Champagne, France",N/A,4.3,4212,2537
Brut Vintage Champagne 2015,Pol Roger,"Champagne, France",2015,4.3,2092,3000
Cuvée Louis Brut Champagne ,Tarlant,"Champagne, France",N/A,4.3,1375,4335
Brut Grand Millésimé Champagne 2004,Gosset,"Champagne, France",2004,4.3,1083,3900
