Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Castillo Ygay Gran Reserva Especial Blanco 1998,Marqués de Murrieta,"Rioja, Spain",1998,4.6,2776,1600
Pessac-Léognan Blanc 2015,Château Smith Haut-Lafitte,"Pessac-Léognan, France",2015,4.5,510,4540
Chardonnay 2015,Kongsgaard,"Napa Valley, United States",2015,4.5,363,7982
Corton Grand Cru Vergennes 2013,Château de Meursault,"Corton Grand Cru, France",2013,4.5,166,9979
Scharzhofberger Riesling Kabinett 2002,Egon Müller - Scharzhof,"Wiltingen, Germany",2002,4.4,3350,1900
Vieilles Vignes Châteauneuf-du-Pape Blanc 2018,Château de Beaucastel,"Châteauneuf-du-Pape, France",2018,4.4,2686,5379
Les Chaillées de L'Enfer Condrieu 2005,Domaine Georges Vernay,"Condrieu, France",2005,4.4,2038,8930
Corton-Charlemagne Grand Cru 2006,Joseph Drouhin,"Corton-Charlemagne Grand Cru, France",2006,4.4,1158,7982
Le Petit Cheval Bordeaux Blanc 2002,Château Cheval Blanc,"Bordeaux, France",2002,4.4,1006,5730
Le Petit Cheval Bordeaux Blanc 2000,Château Cheval Blanc,"Bordeaux, France",2000,4.4,1006,7163
Le Petit Cheval Bordeaux Blanc 2006,Château Cheval Blanc,"Bordeaux, France",2006,4.4,1006,6549
Ermitage Le Méal Blanc 2016,M. Chapoutier,"Hermitage, France",2016,4.4,830,5730
Puligny-Montrachet 1er Cru 'La Garenne' 2020,Louis Jadot,"Puligny-Montrachet 1er Cru 'La Garenne', France",2020,4.4,467,3580
Puligny-Montrachet 2019,Domaine Leflaive,"Puligny-Montrachet, France",2019,4.4,436,7572
Pessac-Léognan Blanc 2016,Château Smith Haut-Lafitte,"Pessac-Léognan, France",2016,4.4,420,4280
Trebbiano d'Abruzzo 2016,Valentini,"Trebbiano d'Abruzzo, Italy",2016,4.4,302,4900
Pessac-Léognan Blanc 2017,Château Smith Haut-Lafitte,"Pessac-Léognan, France",2017,4.4,277,4330
Coteau de Vernon Condrieu 2014,Domaine Georges Vernay,"Condrieu, France",2014,4.4,266,7273
Riesling Alsace Clos Windsbuhl 2018,Domaine Zind Humbrecht,"Alsace, France",2018,4.4,124,2448
L'Hermitage Blanc 2012,Domaine Jean-Louis Chave,"Hermitage, France",2012,4.4,114,9005
Clos de Beauvenir Châteauneuf-du-Pape 2013,Château La Nerthe,"Châteauneuf-du-Pape, France",2013,4.4,102,3240
Kirchenstück GG 2015,Von Winning,"Pfalz, Germany",2015,4.4,91,4999
Cos d'Estournel Blanc 2018,Cos d'Estournel,"Bordeaux, France",2018,4.4,82,4980
Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2001,Château La Mission Haut-Brion,"Pessac-Léognan, France",2001,4.4,50,7572
Rully Les Cailloux 2017,Pierre-Yves Colin-Morey,"Rully, France",2017,4.4,41,3888
Sancerre Chambrates 2019,Domaine Vacheron,"Sancerre, France",2019,4.4,39,2430
Baron de L Pouilly-Fumé 1996,de Ladoucette,"Pouilly-Fumé, France",1996,4.4,36,2661
Cos d'Estournel Blanc 2019,Cos d'Estournel,"Bordeaux, France",2019,4.4,36,5911
Puligny-Montrachet 1er Cru 'Champ Gain' 2017,Pierre Morey,"Puligny-Montrachet 1er Cru 'Champ Gain', France",2017,4.4,33,7380
Puligny-Montrachet 1er Cru 'Champ Gain' 2018,Pierre Morey,"Puligny-Montrachet 1er Cru 'Champ Gain', France",2018,4.4,33,7380
Pinot Gris Alsace Grand Cru Hengst 2011,Cave de Turckheim,"Alsace Grand Cru, France",2011,4.4,30,1800
Pessac-Léognan Blanc 1999,Château Smith Haut-Lafitte,"Pessac-Léognan, France",1999,4.3,4372,4460
Grünlack Riesling Spätlese 2005,Schloss Johannisberg,"Rheingau, Germany",2005,4.3,3873,1800
Chablis Grand Cru 'Les Clos' 1991,Jean-Paul & Benoit Droin,"Chablis Grand Cru 'Les Clos', France",1991,4.3,2797,2047
Puligny-Montrachet Premier Cru Folatières 1994,Joseph Drouhin,"Puligny-Montrachet Premier Cru, France",1994,4.3,2647,5935
Riesling Alsace Clos Windsbuhl 2021,Domaine Zind Humbrecht,"Alsace, France",2021,4.3,2176,2448
Alsace Grand Cru Schoenenbourg 1994,Marcel Deiss,"Alsace Grand Cru, France",1994,4.3,1978,8119
Pinot Gris Alsace Grand Cru Rangen de Thann Clos Saint Urbain 2021,Domaine Zind Humbrecht,"Alsace Grand Cru, France",2021,4.3,1186,2853
Pinot Gris Alsace Grand Cru Rangen de Thann Clos Saint Urbain 2019,Domaine Zind Humbrecht,"Alsace Grand Cru, France",2019,4.3,1186,2853
Pinot Gris Alsace Grand Cru Rangen de Thann Clos Saint Urbain 2018,Domaine Zind Humbrecht,"Alsace Grand Cru, France",2018,4.3,1186,2853
Pinot Gris Alsace Grand Cru Rangen de Thann Clos Saint Urbain 2020,Domaine Zind Humbrecht,"Alsace Grand Cru, France",2020,4.3,1186,2853
Baroness Nadine 2018,Rupert & Rothschild,"Western Cape, South Africa",2018,4.3,808,1950
Clos de Beauvenir Châteauneuf-du-Pape 2017,Château La Nerthe,"Châteauneuf-du-Pape, France",2017,4.3,805,3560
Meursault Sous la Velle 2021,Anne Boisson,"Meursault, France",2021,4.3,684,3070
Meursault 1er Cru 'Perrières' 2001,Albert Grivault,"Meursault 1er Cru 'Perrières', France",2001,4.3,602,7982
Sancerre Le Paradis 2018,Domaine Vacheron,"Sancerre, France",2018,4.3,571,2430
Maximin Grünhäuser Abtsberg Riesling Auslese 2005,Maximin Grünhaus,"Mosel, Germany",2005,4.3,504,1330
Pessac-Léognan Blanc 2014,Château Smith Haut-Lafitte,"Pessac-Léognan, France",2014,4.3,317,4710
Premium Chardonnay 2021,Bass Phillip,"Victoria, Australia",2021,4.3,315,3300
Meursault-Charmes Premier Cru 1989,Domaine Buisson Battault,"Meursault Premier Cru, France",1989,4.3,279,1228
Pessac-Léognan Blanc 2011,Château Smith Haut-Lafitte,"Pessac-Léognan, France",2011,4.3,272,4810
Ungeheuer GG 2015,Von Winning,"Pfalz, Germany",2015,4.3,224,2299
Condrieu Les Chaillets 2015,Yves Cuilleron,"Condrieu, France",2015,4.3,212,2456
Pessac-Léognan Blanc 2019,Château Smith Haut-Lafitte,"Pessac-Léognan, France",2019,4.3,200,4760
Cos d'Estournel Blanc 2017,Cos d'Estournel,"Bordeaux, France",2017,4.3,179,5040
Pessac-Léognan Blanc 2018,Château Smith Haut-Lafitte,"Pessac-Léognan, France",2018,4.3,173,4420
Vaíllons Chablís 1er Cru 2018,Vincent Dauvissat,"Chablis 1er Cru 'Vaillons', France",2018,4.3,171,5116
Pessac-Léognan Blanc 2020,Château Smith Haut-Lafitte,"Pessac-Léognan, France",2020,4.3,158,5847
Sauvignon Blanc 500 2012,Von Winning,"Pfalz, Germany",2012,4.3,152,2699
Sauvignon Blanc 2021,Spottswoode,"North Coast, United States",2021,4.3,115,1350
Clos de Beauvenir Châteauneuf-du-Pape 2015,Château La Nerthe,"Châteauneuf-du-Pape, France",2015,4.3,114,3580
La Voûte 2019,Le Chai au Quai,"Languedoc, France",2019,4.3,97,1199
Y 1985,Château d'Yquem,"Bordeaux Supérieur, France",1985,4.3,87,9133
Gewürztraminer Alsace Grand Cru Brand 2013,Cave de Turckheim,"Alsace Grand Cru, France",2013,4.3,81,1800
Riesling Alsace Grand Cru Rangen De Thann Clos Saint Urbain 2020,Domaine Zind Humbrecht,"Alsace Grand Cru, France",2020,4.3,58,2970
Traveller's Riesling 2014,Nomad at Hinterbrook,"Niagara Lakeshore, Canada",2014,4.3,55,1899
Clos de Beauvenir Châteauneuf-du-Pape 2016,Château La Nerthe,"Châteauneuf-du-Pape, France",2016,4.3,54,3450
Scharzhofberger Riesling Spätlese 2003,Egon Müller - Scharzhof,"Wiltingen, Germany",2003,4.3,45,3800
Meursault-Poruzot Premier Cru 2019,Domaine Jobard-Morey,"Meursault Premier Cru, France",2019,4.3,33,3991
Kiedrich Gräfenberg Riesling Spätlese 2021,Robert Weil,"Kiedrich, Germany",2021,4.3,33,4000
Cos d'Estournel Blanc 2020,Cos d'Estournel,"Bordeaux, France",2020,4.3,32,5410
Beaune 1er Cru 'Bressandes' Blanc 2020,Louis Jadot - Domaine Gagey,"Beaune 1er Cru 'Les Bressandes', France",2020,4.3,28,2360
