Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Ginés Liébana Pedro Ximénez 1976,Toro Albalá,"Montilla-Moriles, Spain",1976,4.6,124,8100
Colheita Port 1978,Kopke,"Porto, Portugal",1978,4.5,762,5548
Porto 1978,J.W. Hart,"Porto, Portugal",1978,4.5,153,5412
Don PX Gran Reserva 1983,Toro Albalá,"Montilla-Moriles, Spain",1983,4.4,1317,1680
20 Year Old Tawny Port ,Quinta do Noval,"Porto, Portugal",N/A,4.3,1599,2875
20 Years Old Tawny Port ,Kopke,"Porto, Portugal",N/A,4.3,1388,2131
Port Tawny Colheita 2005,Quinta do Noval,"Porto, Portugal",2005,4.3,207,2436
Late Bottled Vintage Port 2017,Quinta do Noval,"Porto, Portugal",2017,4.3,82,1184
Vintage Port 2017,Alves de Sousa,"Porto, Portugal",2017,4.3,34,1490
10 Year Old Tawny Port ,W. & J. Graham's,"Porto, Portugal",N/A,4.2,17600,1880
Otima 20 Year Old Tawny Port ,Warre's,"Porto, Portugal",N/A,4.2,1997,3000
Father Grand Tawny (10 Year Old) ,Penfolds,"Barossa, Australia",N/A,4.2,1968,1450
Elegante Sweet Cream ,Gonzalez-Byass,"Jerez-Xérès-Sherry, Spain",N/A,4.2,296,680
Porto White Colheita 2003,Kopke,"Porto, Portugal",2003,4.2,191,2500
Vintage Port 2003,Quinta das Tecedeiras,"Porto, Portugal",2003,4.2,137,2280
Colheita Port 2011,Kopke,"Porto, Portugal",2011,4.2,125,1350
Vintage Port 2016,Kopke,"Porto, Portugal",2016,4.2,121,2216
Colheita Port 1991,Burmester,"Porto, Portugal",1991,4.2,36,6089
Quinta de Ervamoira 10 Year Old Tawny Port ,Ramos Pinto,"Porto, Portugal",N/A,4.1,4248,1300
Late Bottled Vintage Port 1968,Quinta do Noval,"Porto, Portugal",1968,4.1,2581,9133
Late Bottled Vintage Port 1980,Quinta do Noval,"Porto, Portugal",1980,4.1,2581,6732
Malvasia 10 Years Old Madeira ,Justino's Madeira,"Madeira, Portugal",N/A,4.1,582,1600
Vintage Port 2005,Royal Oporto,"Porto, Portugal",2005,4.1,417,3030
10 Year Old White Medium Dry Porto ,Vista Alegre,"Porto, Portugal",N/A,4.1,396,1599
Colheita Port 2002,Kopke,"Porto, Portugal",2002,4.1,286,2216
Late Bottled Vintage Port 2017,Quinta Nova de Nossa Senhora do Carmo,"Porto, Portugal",2017,4.1,75,1580
Otima 10 Year Old Tawny Port ,Warre's,"Porto, Portugal",N/A,4.0,6694,1800
10 Years Old Tawny Port ,Dow's,"Porto, Portugal",N/A,4.0,4893,2050
10 Years Old Tawny Port ,Kopke,"Porto, Portugal",N/A,4.0,4638,1133
10 Year Old Tawny Port ,Quinta do Noval,"Porto, Portugal",N/A,4.0,4486,1404
Porto Reserve Tawny ,Kopke,"Porto, Portugal",N/A,4.0,758,896
Vintage Port 1962,Quinta do Castelinho,"Porto, Portugal",1962,4.0,353,9133
Six Grapes Reserve Port ,W. & J. Graham's,"Porto, Portugal",N/A,3.9,12030,1550
Heritage Ruby Port ,Warre's,"Porto, Portugal",N/A,3.9,3293,980
King's Tawny Port ,Warre's,"Porto, Portugal",N/A,3.9,3036,980
Noval Black Ruby Port ,Quinta do Noval,"Porto, Portugal",N/A,3.9,2851,1015
L.B.V Port 2018,Kopke,"Porto, Portugal",2018,3.9,281,944
Port Reserve Tawny ,Quinta do Noval,"Porto, Portugal",N/A,3.9,163,944
29 Grapes Reserve Ruby Port ,Quinta do Portal,"Porto, Portugal",N/A,3.9,162,1150
Bertola P.X. Pedro Ximenez ,Diez Mérito,"Jerez-Xérès-Sherry, Spain",N/A,3.9,128,1384
Tawny Port ,Niepoort,"Porto, Portugal",N/A,3.8,2701,606
Tawny Port ,Quinta do Noval,"Porto, Portugal",N/A,3.8,2593,626
Tawny Port ,Ramos Pinto,"Porto, Portugal",N/A,3.8,2173,950
Ruby Port ,Royal Oporto,"Porto, Portugal",N/A,3.8,2102,760
Fine Tawny Porto ,Vista Alegre,"Porto, Portugal",N/A,3.8,889,899
Dalva Tawny Porto ,C. da Silva,"Porto, Portugal",N/A,3.8,888,650
White Porto ,Royal Oporto,"Porto, Portugal",N/A,3.8,404,790
En Rama ,Hidalgo (La Gitana),"Jerez-Xérès-Sherry, Spain",N/A,3.8,321,990
Reserve Ruby Porto ,Vista Alegre,"Porto, Portugal",N/A,3.8,226,1699
Bertola 12 Year Old Amontillado Sherry ,Diez Mérito,"Jerez-Xérès-Sherry, Spain",N/A,3.8,168,1350
Pedro Ximénez ,José Pemartín,"Jerez-Xérès-Sherry, Spain",N/A,3.8,162,778
Late Bottled Vintage Porto 2013,Royal Oporto,"Porto, Portugal",2013,3.8,122,1090
Zinfandel Port 2003,Eos Estate,"Paso Robles, United States",2003,3.8,46,1260
Oloroso ,José Pemartín,"Jerez-Xérès-Sherry, Spain",N/A,3.8,40,693
