Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Opus One 2015,Opus One,"Napa Valley, United States",2015,4.7,5290,7368
Pauillac (Grand Cru Classé) 2009,Château Pontet-Canet,"Pauillac, France",2009,4.7,3624,7572
Clos Apalta 2005,Clos Apalta,"Apalta Valley, Chile",2005,4.7,1085,3000
Côte-Rôtie La Mouline 2002,E. Guigal,"Côte-Rôtie, France",2002,4.7,160,9619
Cirsion Rioja 2001,Bodegas Roda,"Rioja, Spain",2001,4.7,137,7982
Taita Marchigüe Vineyard Cabernet Sauvignon 2014,Montes,"Colchagua Valley, Chile",2014,4.7,106,9800
Poggio Al Vento Brunello di Montalcino Riserva 1982,Col d'Orcia,"Brunello di Montalcino, Italy",1982,4.7,33,4912
Pomerol 2010,Château Grand Beausejour,"Pomerol, France",2010,4.7,32,1637
Bolgheri Superiore 2012,Ornellaia,"Bolgheri Superiore, Italy",2012,4.6,3447,9460
Viña El Pison 1992,Artadi,"Vino de España, Spain",1992,4.6,3183,9209
Pauillac (Grand Cru Classé) 2010,Château Pontet-Canet,"Pauillac, France",2010,4.6,2938,7572
Bolgheri Superiore 2009,Ornellaia,"Bolgheri Superiore, Italy",2009,4.6,2703,9209
Tenuta Nuova Brunello di Montalcino 2010,Casanova di Neri,"Brunello di Montalcino, Italy",2010,4.6,2146,9209
Bolgheri Superiore 2017,Ornellaia,"Bolgheri Superiore, Italy",2017,4.6,1781,6400
Aconcagua Valley 2007,Sena,"Aconcagua Valley, Chile",2007,4.6,1505,4050
Castillo Ygay Gran Reserva Especial Tinto 2011,Marqués de Murrieta,"Rioja, Spain",2011,4.6,1386,6800
Pauillac (Grand Cru Classé) 1989,Château Pichon Longueville Comtesse de Lalande,"Pauillac, France",1989,4.6,1317,8596
Pauillac (Grand Cru Classé) 2000,Château Pichon Longueville Comtesse de Lalande,"Pauillac, France",2000,4.6,1274,9619
Special Selection Cabernet Sauvignon 2018,Caymus Vineyards,"Napa Valley, United States",2018,4.6,1043,6680
Dominus (Christian Moueix) 2014,Dominus,"Napa Valley, United States",2014,4.6,1041,9979
Brunello di Montalcino 2015,Biondi-Santi,"Brunello di Montalcino, Italy",2015,4.6,1010,5935
Clos Apalta 2017,Clos Apalta,"Apalta Valley, Chile",2017,4.6,942,4815
Barolo Cerretta 2018,Giacomo Conterno,"Barolo, Italy",2018,4.6,777,8391
Jersey Boys Vineyard Cabernet Sauvignon 2010,Kinsella Estates,"Dry Creek Valley, United States",2010,4.6,760,5800
Pomerol 2009,Château La Fleur-Pétrus,"Pomerol, France",2009,4.6,710,9823
